100000000;Mike;Woodson;united states;M;1958-12-31
100000001;Doc;Rivers;united states;M;1963-12-31
100000002;Bernie;Bickerstaff;united states;M;1965-12-31
100000003;Scott;Skiles;united states;M;1960-12-31
100000004;Mike;Brown;united states;M;1970-12-31
100000005;Avery;Johnson;united states;M;1975-12-31
100000006;George;Karl;united states;M;1969-12-31
100000007;Flip;Saunders;united states;M;1964-12-31
100000008;Mike;Montgomery;united states;M;1960-12-31
100000009;Jeff;Gundy;united states;M;1971-12-31
100000010;Rick;Carlisle;united states;M;1958-12-31
100000011;Mike;Dunleavy;united states;M;1965-12-31
100000012;Phil;Jackson;united states;M;1972-12-31
100000013;Mike;Fratello;united states;M;1972-12-31
100000014;Stan;Gundy;united states;M;1968-12-31
100000015;Pat;Riley;united states;M;1968-12-31
100000016;Terry;Stotts;united states;M;1962-12-31
100000017;Dwane;Casey;united states;M;1970-12-31
100000018;Lawrence;Frank;united states;M;1967-12-31
100000019;Byron;Scott;united states;M;1972-12-31
100000020;Larry;Brown;united states;M;1961-12-31
100000021;Brian;Hill;united states;M;1975-12-31
100000022;Maurice;Cheeks;united states;M;1958-12-31
100000023;Mike;D'Antoni;united states;M;1968-12-31
100000024;Nate;McMillan;united states;M;1973-12-31
100000025;Rick;Adelman;united states;M;1963-12-31
100000026;Gregg;Popovich;united states;M;1959-12-31
100000027;Bob;Weiss;united states;M;1973-12-31
100000028;Bob;Hill;united states;M;1973-12-31
100000029;Sam;Mitchell;united states;M;1971-12-31
100000030;Jerry;Sloan;united states;M;1959-12-31
100000031;Eddie;Jordan;united states;M;1967-12-31
100000040;Don;Nelson;united states;M;1962-12-31
100000046;Tony;Barone;united states;M;1975-12-31
100000049;Larry;Krystkowiak;united states;M;1974-12-31
100000051;Randy;Wittman;united states;M;1968-12-31
100000054;Isiah;Thomas;united states;M;1961-12-31
100000059;Eric;Musselman;united states;M;1967-12-31
100000067;Sam;Vincent;united states;M;1957-12-31
100000069;Pete;Myers;united states;M;1967-12-31
100000070;Jim;Boylan;united states;M;1971-12-31
100000077;Jim;O'Brien;united states;M;1958-12-31
100000080;Marc;Iavaroni;united states;M;1962-12-31
100000091;Reggie;Theus;united states;M;1958-12-31
100000093;P.J.;Carlesimo;united states;M;1971-12-31
100000100;Vinny;Negro;united states;M;1965-12-31
100000104;Michael;Curry;united states;M;1974-12-31
100000111;Johnny;Davis;united states;M;1962-12-31
100000112;Lionel;Hollins;united states;M;1974-12-31
100000113;Erik;Spoelstra;united states;M;1967-12-31
100000116;Kevin;McHale;united states;M;1957-12-31
100000121;Scott;Brooks;united states;M;1967-12-31
100000124;Tony;DiLeo;united states;M;1970-12-31
100000125;Terry;Porter;united states;M;1973-12-31
100000126;Alvin;Gentry;united states;M;1961-12-31
100000129;Kenny;Natt;united states;M;1972-12-31
100000132;Jay;Triano;united states;M;1958-12-31
100000135;Ed;Tapscott;united states;M;1959-12-31
100000143;John;Kuester;united states;M;1966-12-31
100000148;Kim;Hughes;united states;M;1959-12-31
100000153;Kurt;Rambis;united states;M;1960-12-31
100000155;Tom;Barrise;united states;M;1967-12-31
100000156;Kiki;Vandeweghe;united states;M;1962-12-31
100000158;Jeff;Bower;united states;M;1971-12-31
100000165;Paul;Westphal;united states;M;1975-12-31
100000170;Larry;Drew;united states;M;1964-12-31
100000173;Paul;Silas;united states;M;1963-12-31
100000174;Tom;Thibodeau;united states;M;1966-12-31
100000179;Keith;Smart;united states;M;1964-12-31
100000182;Frank;Vogel;united states;M;1966-12-31
100000190;Monty;Williams;united states;M;1961-12-31
100000194;Doug;Collins;united states;M;1975-12-31
100000201;Tyrone;Corbin;united states;M;1956-12-31
100000211;Mark;Jackson;united states;M;1960-12-31
100000229;Kaleb;Canales;united states;M;1958-12-31
100000241;Mike;Dunlap;united states;M;1972-12-31
100000262;Jacque;Vaughn;united states;M;1970-12-31
100000265;Lindsey;Hunter;united states;M;1961-12-31
100000272;Mike;Budenholzer;united states;M;1957-12-31
100000273;Brad;Stevens;united states;M;1969-12-31
100000274;Jason;Kidd;united states;M;1959-12-31
100000275;Steve;Clifford;united states;M;1971-12-31
100000279;Brian;Shaw;united states;M;1964-12-31
100000281;John;Loyer;united states;M;1970-12-31
100000287;Dave;Joerger;united states;M;1962-12-31
100000295;Brett;Brown;united states;M;1966-12-31
100000296;Jeff;Hornacek;united states;M;1969-12-31
100000298;Michael;Malone;united states;M;1972-12-31
100000308;David;Blatt;united states;M;1958-12-31
100000311;Melvin;Hunt;united states;M;1957-12-31
100000313;Steve;Kerr;united states;M;1956-12-31
100000323;Derek;Fisher;united states;M;1972-12-31
100000326;James;Borrego;united states;M;1956-12-31
100000335;Quin;Snyder;united states;M;1972-12-31
100000340;Tony;Brown;united states;M;1973-12-31
100000341;Fred;Hoiberg;united states;M;1956-12-31
100000344;Tyronn;Lue;united states;M;1964-12-31
100000350;J.B.;Bickerstaff;united states;M;1959-12-31
100000361;Billy;Donovan;united states;M;1965-12-31
100000365;Earl;Watson;united states;M;1971-12-31
100000374;Kenny;Atkinson;united states;M;1967-12-31
100000385;Luke;Walton;united states;M;1966-12-31
100000386;David;Fizdale;united states;M;1971-12-31
100000420;Joe;Prunty;united states;M;1964-12-31
100000435;Lloyd;Pierce;united states;M;1972-12-31
100000439;Jim;Boylen;united states;M;1972-12-31
100000455;Ryan;Saunders;united states;M;1968-12-31
100000461;Igor;Kokoskov;united states;M;1968-12-31
100000465;Nick;Nurse;united states;M;1962-12-31
100000474;John;Beilein;united states;M;1968-12-31
100000484;Taylor;Jenkins;united states;M;1959-12-31
100000490;Mike;Miller;united states;M;1958-12-31
100000504;Steve;Nash;united states;M;1956-12-31
100000512;Stephen;Silas;united states;M;1971-12-31
100000513;Nate;Bjorkgren;united states;M;1973-12-31
100000520;Chris;Finch;united states;M;1974-12-31
100000523;Mark;Daigneault;united states;M;1975-12-31
100000534;Ime;Udoka;united states;M;1957-12-31
100000551;Willie;Green;united states;M;1965-12-31
100000554;Jamahl;Mosley;united states;M;1960-12-31
100000557;Chauncey;Billups;united states;M;1969-12-31
100000563;Wes;Unseld;united states;M;1969-12-31
100002000;Mike;Longabardi;united states;M;\N
100002001;Jamelle;McMillan;united states;M;\N
100002003;Nick;Exel;united states;M;1971-11-27
100002005;Greg;Foster;united states;M;\N
100002006;Marlon;Garnett;united states;M;\N
100002007;Matt;Hill;united states;M;\N
100002009;Chris;Jent;united states;M;1970-01-11
100002010;Patrick;Andrews;united states;M;\N
100002011;Charles;Lee;united states;M;1984-11-11
